	Acanthoeca_like_sp_10tr	Acropora_cervicornis	Aiptasia_pallida	Amoebidium	Amphimedon_queenslandica	Aphrocallistes_vastus	Aurelia_aurita	Beroe_abyssicola	Bolocera_tuediae	Botryllus_schlosseri	Branchiostoma_floridae	Buddenbrockia_plumatellae	Capitella_teleta	Capsaspora_owczarzaki_atcc30864	Chondrilla_nucula	Ciona_intestinalis	Clytia_hemisphaerica	Corticium_candelabrum	Craspedacusta_sowerbyi	Crassostrea_gigas	Cyanea_capillata	Daphnia_pulex	Ectopleura_larynx	Edwardsiella_lineata	Enteromyxum_leei	Ephydatia_muelleri	Eunicella_cavolinii	Euplectella_aspergillum	Euplokamis_dunlapae	Gorgonia_ventalina	Helobdella_robusta	Homo_sapiens	Hormathia_digitata	Hydra_magnipapillata	Hydractinia_polyclina	Ilyanassa_obsoleta	Ixodes_scapularis	Kudoa_iwatai	Latimeria_menadoensis	Leucetta_chagosensis	Ministeria_vibrans_atcc50519	Mnemiopsis_leidyi	Monosiga_brevicollis_mx1	Monosiga_ovata	Montastraea_faveolata	Myxobolus_cerebralis	Nanomia_bijuga	Nasonia_vitripennis	Nematostella_vectensis	Octopus_vulgaris	Oscarella	Oscarella_carmela	Patiria_miniata	Pediculus_humanus_corporis	Petromyzon_marinus	Petrosia_ficiformis	Pleurobrachia_pileus	Pocillopora_damicornis	Polypodium_hydriforme	Porites_australiensis	Saccoglossus_kowalevskii	Salpingoeca_sp_ATCC50818	Sarcotragus_fasciculatus	Sphaeroforma_arctica_jp610	Sphaeromyxa_zaharoni	Stephanoeca_diplocostata	Stomolophus_meleagris	Strigamia_maritima	Strongylocentrotus_purpuratus	Sycon_ciliatum	Sycon_coactum	Tetracapsuloides_bryosalmonae	Thelohanellus_kitauei	Trichoplax_adhaerens	Tripedalia_cystophora	Urticina_eques	Vallicula_multiformis
Acanthoeca_like_sp_10tr		1	1	1	1	1	1	0.972067039106145	0.877094972067039	1	1	0	1	1	1	1	1	1	1	1	0	1	1	0.659217877094972	0.810055865921788	1	0.731843575418994	1	0.983240223463687	1	0.675977653631285	1	1	1	1	0.994413407821229	1	1	1	0	0.910614525139665	0.994413407821229	0.910614525139665	1	1	1	1	1	1	1	1	0.966480446927374	0.910614525139665	1	0	1	0.983240223463687	1	1	1	1	1	0.748603351955307	1	1	1	0.916201117318436	0.921787709497207	1	1	1	0	0.726256983240223	1	0	0.664804469273743	1
Acropora_cervicornis	1		1	1	1	1	1	0.972067039106145	0.877094972067039	1	1	0	1	1	1	1	1	1	1	1	0	1	1	0.659217877094972	0.810055865921788	1	0.731843575418994	1	0.983240223463687	1	0.675977653631285	1	1	1	1	0.994413407821229	1	1	1	0	0.910614525139665	0.994413407821229	0.910614525139665	1	1	1	1	1	1	1	1	0.966480446927374	0.910614525139665	1	0	1	0.983240223463687	1	1	1	1	1	0.748603351955307	1	1	1	0.916201117318436	0.921787709497207	1	1	1	0	0.726256983240223	1	0	0.664804469273743	1
Aiptasia_pallida	1	1		1	1	1	1	0.972067039106145	0.877094972067039	1	1	0	1	1	1	1	1	1	1	1	0	1	1	0.659217877094972	0.810055865921788	1	0.731843575418994	1	0.983240223463687	1	0.675977653631285	1	1	1	1	0.994413407821229	1	1	1	0	0.910614525139665	0.994413407821229	0.910614525139665	1	1	1	1	1	1	1	1	0.966480446927374	0.910614525139665	1	0	1	0.983240223463687	1	1	1	1	1	0.748603351955307	1	1	1	0.916201117318436	0.921787709497207	1	1	1	0	0.726256983240223	1	0	0.664804469273743	1
Amoebidium	1	1	1		1	1	1	0.972067039106145	0.877094972067039	1	1	0	1	1	1	1	1	1	1	1	0	1	1	0.659217877094972	0.810055865921788	1	0.731843575418994	1	0.983240223463687	1	0.675977653631285	1	1	1	1	0.994413407821229	1	1	1	0	0.910614525139665	0.994413407821229	0.910614525139665	1	1	1	1	1	1	1	1	0.966480446927374	0.910614525139665	1	0	1	0.983240223463687	1	1	1	1	1	0.748603351955307	1	1	1	0.916201117318436	0.921787709497207	1	1	1	0	0.726256983240223	1	0	0.664804469273743	1
Amphimedon_queenslandica	1	1	1	1		1	1	0.972067039106145	0.877094972067039	1	1	0	1	1	1	1	1	1	1	1	0	1	1	0.659217877094972	0.810055865921788	1	0.731843575418994	1	0.983240223463687	1	0.675977653631285	1	1	1	1	0.994413407821229	1	1	1	0	0.910614525139665	0.994413407821229	0.910614525139665	1	1	1	1	1	1	1	1	0.966480446927374	0.910614525139665	1	0	1	0.983240223463687	1	1	1	1	1	0.748603351955307	1	1	1	0.916201117318436	0.921787709497207	1	1	1	0	0.726256983240223	1	0	0.664804469273743	1
Aphrocallistes_vastus	1	1	1	1	1		1	0.972067039106145	0.877094972067039	1	1	0	1	1	1	1	1	1	1	1	0	1	1	0.659217877094972	0.810055865921788	1	0.731843575418994	1	0.983240223463687	1	0.675977653631285	1	1	1	1	0.994413407821229	1	1	1	0	0.910614525139665	0.994413407821229	0.910614525139665	1	1	1	1	1	1	1	1	0.966480446927374	0.910614525139665	1	0	1	0.983240223463687	1	1	1	1	1	0.748603351955307	1	1	1	0.916201117318436	0.921787709497207	1	1	1	0	0.726256983240223	1	0	0.664804469273743	1
Aurelia_aurita	1	1	1	1	1	1		0.972067039106145	0.877094972067039	1	1	0	1	1	1	1	1	1	1	1	0	1	1	0.659217877094972	0.810055865921788	1	0.731843575418994	1	0.983240223463687	1	0.675977653631285	1	1	1	1	0.994413407821229	1	1	1	0	0.910614525139665	0.994413407821229	0.910614525139665	1	1	1	1	1	1	1	1	0.966480446927374	0.910614525139665	1	0	1	0.983240223463687	1	1	1	1	1	0.748603351955307	1	1	1	0.916201117318436	0.921787709497207	1	1	1	0	0.726256983240223	1	0	0.664804469273743	1
Beroe_abyssicola	0.972067039106145	0.972067039106145	0.972067039106145	0.972067039106145	0.972067039106145	0.972067039106145	0.972067039106145		0.854748603351955	0.972067039106145	0.972067039106145	0	0.972067039106145	0.972067039106145	0.972067039106145	0.972067039106145	0.972067039106145	0.972067039106145	0.972067039106145	0.972067039106145	0	0.972067039106145	0.972067039106145	0.636871508379888	0.787709497206704	0.972067039106145	0.709497206703911	0.972067039106145	0.955307262569832	0.972067039106145	0.670391061452514	0.972067039106145	0.972067039106145	0.972067039106145	0.972067039106145	0.966480446927374	0.972067039106145	0.972067039106145	0.972067039106145	0	0.888268156424581	0.972067039106145	0.88268156424581	0.972067039106145	0.972067039106145	0.972067039106145	0.972067039106145	0.972067039106145	0.972067039106145	0.972067039106145	0.972067039106145	0.93854748603352	0.888268156424581	0.972067039106145	0	0.972067039106145	0.960893854748603	0.972067039106145	0.972067039106145	0.972067039106145	0.972067039106145	0.972067039106145	0.743016759776536	0.972067039106145	0.972067039106145	0.972067039106145	0.888268156424581	0.893854748603352	0.972067039106145	0.972067039106145	0.972067039106145	0	0.70391061452514	0.972067039106145	0	0.636871508379888	0.972067039106145
Bolocera_tuediae	0.877094972067039	0.877094972067039	0.877094972067039	0.877094972067039	0.877094972067039	0.877094972067039	0.877094972067039	0.854748603351955		0.877094972067039	0.877094972067039	0	0.877094972067039	0.877094972067039	0.877094972067039	0.877094972067039	0.877094972067039	0.877094972067039	0.877094972067039	0.877094972067039	0	0.877094972067039	0.877094972067039	0.659217877094972	0.776536312849162	0.877094972067039	0.698324022346369	0.877094972067039	0.860335195530726	0.877094972067039	0.58659217877095	0.877094972067039	0.877094972067039	0.877094972067039	0.877094972067039	0.871508379888268	0.877094972067039	0.877094972067039	0.877094972067039	0	0.877094972067039	0.877094972067039	0.82122905027933	0.877094972067039	0.877094972067039	0.877094972067039	0.877094972067039	0.877094972067039	0.877094972067039	0.877094972067039	0.877094972067039	0.843575418994413	0.877094972067039	0.877094972067039	0	0.877094972067039	0.860335195530726	0.877094972067039	0.877094972067039	0.877094972067039	0.877094972067039	0.877094972067039	0.659217877094972	0.877094972067039	0.877094972067039	0.877094972067039	0.826815642458101	0.832402234636871	0.877094972067039	0.877094972067039	0.877094972067039	0	0.692737430167598	0.877094972067039	0	0.541899441340782	0.877094972067039
Botryllus_schlosseri	1	1	1	1	1	1	1	0.972067039106145	0.877094972067039		1	0	1	1	1	1	1	1	1	1	0	1	1	0.659217877094972	0.810055865921788	1	0.731843575418994	1	0.983240223463687	1	0.675977653631285	1	1	1	1	0.994413407821229	1	1	1	0	0.910614525139665	0.994413407821229	0.910614525139665	1	1	1	1	1	1	1	1	0.966480446927374	0.910614525139665	1	0	1	0.983240223463687	1	1	1	1	1	0.748603351955307	1	1	1	0.916201117318436	0.921787709497207	1	1	1	0	0.726256983240223	1	0	0.664804469273743	1
Branchiostoma_floridae	1	1	1	1	1	1	1	0.972067039106145	0.877094972067039	1		0	1	1	1	1	1	1	1	1	0	1	1	0.659217877094972	0.810055865921788	1	0.731843575418994	1	0.983240223463687	1	0.675977653631285	1	1	1	1	0.994413407821229	1	1	1	0	0.910614525139665	0.994413407821229	0.910614525139665	1	1	1	1	1	1	1	1	0.966480446927374	0.910614525139665	1	0	1	0.983240223463687	1	1	1	1	1	0.748603351955307	1	1	1	0.916201117318436	0.921787709497207	1	1	1	0	0.726256983240223	1	0	0.664804469273743	1
Buddenbrockia_plumatellae	0	0	0	0	0	0	0	0	0	0	0		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Capitella_teleta	1	1	1	1	1	1	1	0.972067039106145	0.877094972067039	1	1	0		1	1	1	1	1	1	1	0	1	1	0.659217877094972	0.810055865921788	1	0.731843575418994	1	0.983240223463687	1	0.675977653631285	1	1	1	1	0.994413407821229	1	1	1	0	0.910614525139665	0.994413407821229	0.910614525139665	1	1	1	1	1	1	1	1	0.966480446927374	0.910614525139665	1	0	1	0.983240223463687	1	1	1	1	1	0.748603351955307	1	1	1	0.916201117318436	0.921787709497207	1	1	1	0	0.726256983240223	1	0	0.664804469273743	1
Capsaspora_owczarzaki_atcc30864	1	1	1	1	1	1	1	0.972067039106145	0.877094972067039	1	1	0	1		1	1	1	1	1	1	0	1	1	0.659217877094972	0.810055865921788	1	0.731843575418994	1	0.983240223463687	1	0.675977653631285	1	1	1	1	0.994413407821229	1	1	1	0	0.910614525139665	0.994413407821229	0.910614525139665	1	1	1	1	1	1	1	1	0.966480446927374	0.910614525139665	1	0	1	0.983240223463687	1	1	1	1	1	0.748603351955307	1	1	1	0.916201117318436	0.921787709497207	1	1	1	0	0.726256983240223	1	0	0.664804469273743	1
Chondrilla_nucula	1	1	1	1	1	1	1	0.972067039106145	0.877094972067039	1	1	0	1	1		1	1	1	1	1	0	1	1	0.659217877094972	0.810055865921788	1	0.731843575418994	1	0.983240223463687	1	0.675977653631285	1	1	1	1	0.994413407821229	1	1	1	0	0.910614525139665	0.994413407821229	0.910614525139665	1	1	1	1	1	1	1	1	0.966480446927374	0.910614525139665	1	0	1	0.983240223463687	1	1	1	1	1	0.748603351955307	1	1	1	0.916201117318436	0.921787709497207	1	1	1	0	0.726256983240223	1	0	0.664804469273743	1
Ciona_intestinalis	1	1	1	1	1	1	1	0.972067039106145	0.877094972067039	1	1	0	1	1	1		1	1	1	1	0	1	1	0.659217877094972	0.810055865921788	1	0.731843575418994	1	0.983240223463687	1	0.675977653631285	1	1	1	1	0.994413407821229	1	1	1	0	0.910614525139665	0.994413407821229	0.910614525139665	1	1	1	1	1	1	1	1	0.966480446927374	0.910614525139665	1	0	1	0.983240223463687	1	1	1	1	1	0.748603351955307	1	1	1	0.916201117318436	0.921787709497207	1	1	1	0	0.726256983240223	1	0	0.664804469273743	1
Clytia_hemisphaerica	1	1	1	1	1	1	1	0.972067039106145	0.877094972067039	1	1	0	1	1	1	1		1	1	1	0	1	1	0.659217877094972	0.810055865921788	1	0.731843575418994	1	0.983240223463687	1	0.675977653631285	1	1	1	1	0.994413407821229	1	1	1	0	0.910614525139665	0.994413407821229	0.910614525139665	1	1	1	1	1	1	1	1	0.966480446927374	0.910614525139665	1	0	1	0.983240223463687	1	1	1	1	1	0.748603351955307	1	1	1	0.916201117318436	0.921787709497207	1	1	1	0	0.726256983240223	1	0	0.664804469273743	1
Corticium_candelabrum	1	1	1	1	1	1	1	0.972067039106145	0.877094972067039	1	1	0	1	1	1	1	1		1	1	0	1	1	0.659217877094972	0.810055865921788	1	0.731843575418994	1	0.983240223463687	1	0.675977653631285	1	1	1	1	0.994413407821229	1	1	1	0	0.910614525139665	0.994413407821229	0.910614525139665	1	1	1	1	1	1	1	1	0.966480446927374	0.910614525139665	1	0	1	0.983240223463687	1	1	1	1	1	0.748603351955307	1	1	1	0.916201117318436	0.921787709497207	1	1	1	0	0.726256983240223	1	0	0.664804469273743	1
Craspedacusta_sowerbyi	1	1	1	1	1	1	1	0.972067039106145	0.877094972067039	1	1	0	1	1	1	1	1	1		1	0	1	1	0.659217877094972	0.810055865921788	1	0.731843575418994	1	0.983240223463687	1	0.675977653631285	1	1	1	1	0.994413407821229	1	1	1	0	0.910614525139665	0.994413407821229	0.910614525139665	1	1	1	1	1	1	1	1	0.966480446927374	0.910614525139665	1	0	1	0.983240223463687	1	1	1	1	1	0.748603351955307	1	1	1	0.916201117318436	0.921787709497207	1	1	1	0	0.726256983240223	1	0	0.664804469273743	1
Crassostrea_gigas	1	1	1	1	1	1	1	0.972067039106145	0.877094972067039	1	1	0	1	1	1	1	1	1	1		0	1	1	0.659217877094972	0.810055865921788	1	0.731843575418994	1	0.983240223463687	1	0.675977653631285	1	1	1	1	0.994413407821229	1	1	1	0	0.910614525139665	0.994413407821229	0.910614525139665	1	1	1	1	1	1	1	1	0.966480446927374	0.910614525139665	1	0	1	0.983240223463687	1	1	1	1	1	0.748603351955307	1	1	1	0.916201117318436	0.921787709497207	1	1	1	0	0.726256983240223	1	0	0.664804469273743	1
Cyanea_capillata	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Daphnia_pulex	1	1	1	1	1	1	1	0.972067039106145	0.877094972067039	1	1	0	1	1	1	1	1	1	1	1	0		1	0.659217877094972	0.810055865921788	1	0.731843575418994	1	0.983240223463687	1	0.675977653631285	1	1	1	1	0.994413407821229	1	1	1	0	0.910614525139665	0.994413407821229	0.910614525139665	1	1	1	1	1	1	1	1	0.966480446927374	0.910614525139665	1	0	1	0.983240223463687	1	1	1	1	1	0.748603351955307	1	1	1	0.916201117318436	0.921787709497207	1	1	1	0	0.726256983240223	1	0	0.664804469273743	1
Ectopleura_larynx	1	1	1	1	1	1	1	0.972067039106145	0.877094972067039	1	1	0	1	1	1	1	1	1	1	1	0	1		0.659217877094972	0.810055865921788	1	0.731843575418994	1	0.983240223463687	1	0.675977653631285	1	1	1	1	0.994413407821229	1	1	1	0	0.910614525139665	0.994413407821229	0.910614525139665	1	1	1	1	1	1	1	1	0.966480446927374	0.910614525139665	1	0	1	0.983240223463687	1	1	1	1	1	0.748603351955307	1	1	1	0.916201117318436	0.921787709497207	1	1	1	0	0.726256983240223	1	0	0.664804469273743	1
Edwardsiella_lineata	0.659217877094972	0.659217877094972	0.659217877094972	0.659217877094972	0.659217877094972	0.659217877094972	0.659217877094972	0.636871508379888	0.659217877094972	0.659217877094972	0.659217877094972	0	0.659217877094972	0.659217877094972	0.659217877094972	0.659217877094972	0.659217877094972	0.659217877094972	0.659217877094972	0.659217877094972	0	0.659217877094972	0.659217877094972		0.659217877094972	0.659217877094972	0.659217877094972	0.659217877094972	0.642458100558659	0.659217877094972	0.391061452513966	0.659217877094972	0.659217877094972	0.659217877094972	0.659217877094972	0.653631284916201	0.659217877094972	0.659217877094972	0.659217877094972	0	0.659217877094972	0.659217877094972	0.625698324022346	0.659217877094972	0.659217877094972	0.659217877094972	0.659217877094972	0.659217877094972	0.659217877094972	0.659217877094972	0.659217877094972	0.625698324022346	0.659217877094972	0.659217877094972	0	0.659217877094972	0.64804469273743	0.659217877094972	0.659217877094972	0.659217877094972	0.659217877094972	0.659217877094972	0.463687150837989	0.659217877094972	0.659217877094972	0.659217877094972	0.631284916201117	0.636871508379888	0.659217877094972	0.659217877094972	0.659217877094972	0	0.653631284916201	0.659217877094972	0	0.324022346368715	0.659217877094972
Enteromyxum_leei	0.810055865921788	0.810055865921788	0.810055865921788	0.810055865921788	0.810055865921788	0.810055865921788	0.810055865921788	0.787709497206704	0.776536312849162	0.810055865921788	0.810055865921788	0	0.810055865921788	0.810055865921788	0.810055865921788	0.810055865921788	0.810055865921788	0.810055865921788	0.810055865921788	0.810055865921788	0	0.810055865921788	0.810055865921788	0.659217877094972		0.810055865921788	0.731843575418994	0.810055865921788	0.793296089385475	0.810055865921788	0.486033519553073	0.810055865921788	0.810055865921788	0.810055865921788	0.810055865921788	0.804469273743017	0.810055865921788	0.810055865921788	0.810055865921788	0	0.810055865921788	0.810055865921788	0.720670391061452	0.810055865921788	0.810055865921788	0.810055865921788	0.810055865921788	0.810055865921788	0.810055865921788	0.810055865921788	0.810055865921788	0.776536312849162	0.810055865921788	0.810055865921788	0	0.810055865921788	0.793296089385475	0.810055865921788	0.810055865921788	0.810055865921788	0.810055865921788	0.810055865921788	0.558659217877095	0.810055865921788	0.810055865921788	0.810055865921788	0.726256983240223	0.731843575418994	0.810055865921788	0.810055865921788	0.810055865921788	0	0.726256983240223	0.810055865921788	0	0.474860335195531	0.810055865921788
Ephydatia_muelleri	1	1	1	1	1	1	1	0.972067039106145	0.877094972067039	1	1	0	1	1	1	1	1	1	1	1	0	1	1	0.659217877094972	0.810055865921788		0.731843575418994	1	0.983240223463687	1	0.675977653631285	1	1	1	1	0.994413407821229	1	1	1	0	0.910614525139665	0.994413407821229	0.910614525139665	1	1	1	1	1	1	1	1	0.966480446927374	0.910614525139665	1	0	1	0.983240223463687	1	1	1	1	1	0.748603351955307	1	1	1	0.916201117318436	0.921787709497207	1	1	1	0	0.726256983240223	1	0	0.664804469273743	1
Eunicella_cavolinii	0.731843575418994	0.731843575418994	0.731843575418994	0.731843575418994	0.731843575418994	0.731843575418994	0.731843575418994	0.709497206703911	0.698324022346369	0.731843575418994	0.731843575418994	0	0.731843575418994	0.731843575418994	0.731843575418994	0.731843575418994	0.731843575418994	0.731843575418994	0.731843575418994	0.731843575418994	0	0.731843575418994	0.731843575418994	0.659217877094972	0.731843575418994	0.731843575418994		0.731843575418994	0.715083798882682	0.731843575418994	0.407821229050279	0.731843575418994	0.731843575418994	0.731843575418994	0.731843575418994	0.726256983240223	0.731843575418994	0.731843575418994	0.731843575418994	0	0.731843575418994	0.731843575418994	0.642458100558659	0.731843575418994	0.731843575418994	0.731843575418994	0.731843575418994	0.731843575418994	0.731843575418994	0.731843575418994	0.731843575418994	0.698324022346369	0.731843575418994	0.731843575418994	0	0.731843575418994	0.720670391061452	0.731843575418994	0.731843575418994	0.731843575418994	0.731843575418994	0.731843575418994	0.480446927374302	0.731843575418994	0.731843575418994	0.731843575418994	0.64804469273743	0.653631284916201	0.731843575418994	0.731843575418994	0.731843575418994	0	0.726256983240223	0.731843575418994	0	0.396648044692737	0.731843575418994
Euplectella_aspergillum	1	1	1	1	1	1	1	0.972067039106145	0.877094972067039	1	1	0	1	1	1	1	1	1	1	1	0	1	1	0.659217877094972	0.810055865921788	1	0.731843575418994		0.983240223463687	1	0.675977653631285	1	1	1	1	0.994413407821229	1	1	1	0	0.910614525139665	0.994413407821229	0.910614525139665	1	1	1	1	1	1	1	1	0.966480446927374	0.910614525139665	1	0	1	0.983240223463687	1	1	1	1	1	0.748603351955307	1	1	1	0.916201117318436	0.921787709497207	1	1	1	0	0.726256983240223	1	0	0.664804469273743	1
Euplokamis_dunlapae	0.983240223463687	0.983240223463687	0.983240223463687	0.983240223463687	0.983240223463687	0.983240223463687	0.983240223463687	0.955307262569832	0.860335195530726	0.983240223463687	0.983240223463687	0	0.983240223463687	0.983240223463687	0.983240223463687	0.983240223463687	0.983240223463687	0.983240223463687	0.983240223463687	0.983240223463687	0	0.983240223463687	0.983240223463687	0.642458100558659	0.793296089385475	0.983240223463687	0.715083798882682	0.983240223463687		0.983240223463687	0.670391061452514	0.983240223463687	0.983240223463687	0.983240223463687	0.983240223463687	0.977653631284916	0.983240223463687	0.983240223463687	0.983240223463687	0	0.893854748603352	0.977653631284916	0.893854748603352	0.983240223463687	0.983240223463687	0.983240223463687	0.983240223463687	0.983240223463687	0.983240223463687	0.983240223463687	0.983240223463687	0.949720670391061	0.893854748603352	0.983240223463687	0	0.983240223463687	0.966480446927374	0.983240223463687	0.983240223463687	0.983240223463687	0.983240223463687	0.983240223463687	0.743016759776536	0.983240223463687	0.983240223463687	0.983240223463687	0.899441340782123	0.905027932960894	0.983240223463687	0.983240223463687	0.983240223463687	0	0.709497206703911	0.983240223463687	0	0.64804469273743	0.983240223463687
Gorgonia_ventalina	1	1	1	1	1	1	1	0.972067039106145	0.877094972067039	1	1	0	1	1	1	1	1	1	1	1	0	1	1	0.659217877094972	0.810055865921788	1	0.731843575418994	1	0.983240223463687		0.675977653631285	1	1	1	1	0.994413407821229	1	1	1	0	0.910614525139665	0.994413407821229	0.910614525139665	1	1	1	1	1	1	1	1	0.966480446927374	0.910614525139665	1	0	1	0.983240223463687	1	1	1	1	1	0.748603351955307	1	1	1	0.916201117318436	0.921787709497207	1	1	1	0	0.726256983240223	1	0	0.664804469273743	1
Helobdella_robusta	0.675977653631285	0.675977653631285	0.675977653631285	0.675977653631285	0.675977653631285	0.675977653631285	0.675977653631285	0.670391061452514	0.58659217877095	0.675977653631285	0.675977653631285	0	0.675977653631285	0.675977653631285	0.675977653631285	0.675977653631285	0.675977653631285	0.675977653631285	0.675977653631285	0.675977653631285	0	0.675977653631285	0.675977653631285	0.391061452513966	0.486033519553073	0.675977653631285	0.407821229050279	0.675977653631285	0.670391061452514	0.675977653631285		0.675977653631285	0.675977653631285	0.675977653631285	0.675977653631285	0.675977653631285	0.675977653631285	0.675977653631285	0.675977653631285	0	0.58659217877095	0.670391061452514	0.675977653631285	0.675977653631285	0.675977653631285	0.675977653631285	0.675977653631285	0.675977653631285	0.675977653631285	0.675977653631285	0.675977653631285	0.642458100558659	0.58659217877095	0.675977653631285	0	0.675977653631285	0.670391061452514	0.675977653631285	0.675977653631285	0.675977653631285	0.675977653631285	0.675977653631285	0.675977653631285	0.675977653631285	0.675977653631285	0.675977653631285	0.675977653631285	0.675977653631285	0.675977653631285	0.675977653631285	0.675977653631285	0	0.407821229050279	0.675977653631285	0	0.41340782122905	0.675977653631285
Homo_sapiens	1	1	1	1	1	1	1	0.972067039106145	0.877094972067039	1	1	0	1	1	1	1	1	1	1	1	0	1	1	0.659217877094972	0.810055865921788	1	0.731843575418994	1	0.983240223463687	1	0.675977653631285		1	1	1	0.994413407821229	1	1	1	0	0.910614525139665	0.994413407821229	0.910614525139665	1	1	1	1	1	1	1	1	0.966480446927374	0.910614525139665	1	0	1	0.983240223463687	1	1	1	1	1	0.748603351955307	1	1	1	0.916201117318436	0.921787709497207	1	1	1	0	0.726256983240223	1	0	0.664804469273743	1
Hormathia_digitata	1	1	1	1	1	1	1	0.972067039106145	0.877094972067039	1	1	0	1	1	1	1	1	1	1	1	0	1	1	0.659217877094972	0.810055865921788	1	0.731843575418994	1	0.983240223463687	1	0.675977653631285	1		1	1	0.994413407821229	1	1	1	0	0.910614525139665	0.994413407821229	0.910614525139665	1	1	1	1	1	1	1	1	0.966480446927374	0.910614525139665	1	0	1	0.983240223463687	1	1	1	1	1	0.748603351955307	1	1	1	0.916201117318436	0.921787709497207	1	1	1	0	0.726256983240223	1	0	0.664804469273743	1
Hydra_magnipapillata	1	1	1	1	1	1	1	0.972067039106145	0.877094972067039	1	1	0	1	1	1	1	1	1	1	1	0	1	1	0.659217877094972	0.810055865921788	1	0.731843575418994	1	0.983240223463687	1	0.675977653631285	1	1		1	0.994413407821229	1	1	1	0	0.910614525139665	0.994413407821229	0.910614525139665	1	1	1	1	1	1	1	1	0.966480446927374	0.910614525139665	1	0	1	0.983240223463687	1	1	1	1	1	0.748603351955307	1	1	1	0.916201117318436	0.921787709497207	1	1	1	0	0.726256983240223	1	0	0.664804469273743	1
Hydractinia_polyclina	1	1	1	1	1	1	1	0.972067039106145	0.877094972067039	1	1	0	1	1	1	1	1	1	1	1	0	1	1	0.659217877094972	0.810055865921788	1	0.731843575418994	1	0.983240223463687	1	0.675977653631285	1	1	1		0.994413407821229	1	1	1	0	0.910614525139665	0.994413407821229	0.910614525139665	1	1	1	1	1	1	1	1	0.966480446927374	0.910614525139665	1	0	1	0.983240223463687	1	1	1	1	1	0.748603351955307	1	1	1	0.916201117318436	0.921787709497207	1	1	1	0	0.726256983240223	1	0	0.664804469273743	1
Ilyanassa_obsoleta	0.994413407821229	0.994413407821229	0.994413407821229	0.994413407821229	0.994413407821229	0.994413407821229	0.994413407821229	0.966480446927374	0.871508379888268	0.994413407821229	0.994413407821229	0	0.994413407821229	0.994413407821229	0.994413407821229	0.994413407821229	0.994413407821229	0.994413407821229	0.994413407821229	0.994413407821229	0	0.994413407821229	0.994413407821229	0.653631284916201	0.804469273743017	0.994413407821229	0.726256983240223	0.994413407821229	0.977653631284916	0.994413407821229	0.675977653631285	0.994413407821229	0.994413407821229	0.994413407821229	0.994413407821229		0.994413407821229	0.994413407821229	0.994413407821229	0	0.905027932960894	0.988826815642458	0.905027932960894	0.994413407821229	0.994413407821229	0.994413407821229	0.994413407821229	0.994413407821229	0.994413407821229	0.994413407821229	0.994413407821229	0.960893854748603	0.905027932960894	0.994413407821229	0	0.994413407821229	0.977653631284916	0.994413407821229	0.994413407821229	0.994413407821229	0.994413407821229	0.994413407821229	0.743016759776536	0.994413407821229	0.994413407821229	0.994413407821229	0.910614525139665	0.916201117318436	0.994413407821229	0.994413407821229	0.994413407821229	0	0.720670391061452	0.994413407821229	0	0.664804469273743	0.994413407821229
Ixodes_scapularis	1	1	1	1	1	1	1	0.972067039106145	0.877094972067039	1	1	0	1	1	1	1	1	1	1	1	0	1	1	0.659217877094972	0.810055865921788	1	0.731843575418994	1	0.983240223463687	1	0.675977653631285	1	1	1	1	0.994413407821229		1	1	0	0.910614525139665	0.994413407821229	0.910614525139665	1	1	1	1	1	1	1	1	0.966480446927374	0.910614525139665	1	0	1	0.983240223463687	1	1	1	1	1	0.748603351955307	1	1	1	0.916201117318436	0.921787709497207	1	1	1	0	0.726256983240223	1	0	0.664804469273743	1
Kudoa_iwatai	1	1	1	1	1	1	1	0.972067039106145	0.877094972067039	1	1	0	1	1	1	1	1	1	1	1	0	1	1	0.659217877094972	0.810055865921788	1	0.731843575418994	1	0.983240223463687	1	0.675977653631285	1	1	1	1	0.994413407821229	1		1	0	0.910614525139665	0.994413407821229	0.910614525139665	1	1	1	1	1	1	1	1	0.966480446927374	0.910614525139665	1	0	1	0.983240223463687	1	1	1	1	1	0.748603351955307	1	1	1	0.916201117318436	0.921787709497207	1	1	1	0	0.726256983240223	1	0	0.664804469273743	1
Latimeria_menadoensis	1	1	1	1	1	1	1	0.972067039106145	0.877094972067039	1	1	0	1	1	1	1	1	1	1	1	0	1	1	0.659217877094972	0.810055865921788	1	0.731843575418994	1	0.983240223463687	1	0.675977653631285	1	1	1	1	0.994413407821229	1	1		0	0.910614525139665	0.994413407821229	0.910614525139665	1	1	1	1	1	1	1	1	0.966480446927374	0.910614525139665	1	0	1	0.983240223463687	1	1	1	1	1	0.748603351955307	1	1	1	0.916201117318436	0.921787709497207	1	1	1	0	0.726256983240223	1	0	0.664804469273743	1
